ID,name,description,incidentnumber,type,status_code,createdAt,createdBy,modifiedAt,modifiedBy
4206601a-397b-4085-8588-cbac5fd8c695,name-4206601,description-4206601,79,type-4206601,CLOSED,2006-11-13T00:00:00.000Z,createdBy.2i5u1@example.com,2001-11-14T00:00:00.000Z,modifiedBy.2i5u1@example.net
4206602c-1f04-4f34-8c64-bee9ceefe8f0,name-4206602,description-4206602,21,type-4206602,CLOSED,2000-12-06T00:00:00.000Z,createdBy.2i5u2@example.org,2018-01-26T00:00:00.000Z,modifiedBy.2i5u2@example.net
42066030-c96a-4589-a1f9-3d50c03f9b1a,name-4206603,description-4206603,45,type-4206603,CLOSED,2020-05-23T00:00:00.000Z,createdBy.2i5u3@example.net,2023-12-10T00:00:00.000Z,modifiedBy.2i5u3@example.com
42066049-55e6-4ac4-9b82-88bd6fa53ac6,name-4206604,description-4206604,11,type-4206604,CLOSED,2008-08-05T00:00:00.000Z,createdBy.2i5u4@example.org,2018-02-05T00:00:00.000Z,modifiedBy.2i5u4@example.com
42066053-390f-4617-82bb-af0c1fa72eb9,name-4206605,description-4206605,58,type-4206605,CLOSED,2005-09-09T00:00:00.000Z,createdBy.2i5u5@example.org,2019-12-11T00:00:00.000Z,modifiedBy.2i5u5@example.org
4206606d-3458-4fd0-857a-43aa1066a00a,name-4206606,description-4206606,19,type-4206606,CLOSED,2023-08-17T00:00:00.000Z,createdBy.2i5u6@example.net,2017-05-16T00:00:00.000Z,modifiedBy.2i5u6@example.net
42066072-1154-4143-aa05-3b4d40d449c1,name-4206607,description-4206607,43,type-4206607,CLOSED,2022-08-23T00:00:00.000Z,createdBy.2i5u7@example.com,2010-09-18T00:00:00.000Z,modifiedBy.2i5u7@example.net
42066080-d359-4783-a187-035be75d0960,name-4206608,description-4206608,100,type-4206608,CLOSED,2007-08-13T00:00:00.000Z,createdBy.2i5u8@example.com,2020-02-18T00:00:00.000Z,modifiedBy.2i5u8@example.net
4206609d-f8b9-4478-8e7f-8404725588bc,name-4206609,description-4206609,32,type-4206609,CLOSED,2001-08-15T00:00:00.000Z,createdBy.2i5u9@example.net,2000-09-03T00:00:00.000Z,modifiedBy.2i5u9@example.com
4206610f-197c-41b2-b96d-cefc34be197f,name-4206610,description-4206610,44,type-4206610,CLOSED,2003-10-22T00:00:00.000Z,createdBy.2i5ua@example.net,2017-10-27T00:00:00.000Z,modifiedBy.2i5ua@example.org
42066119-d903-4c49-b7da-56e4a9663941,name-4206611,description-4206611,9,type-4206611,CLOSED,2005-09-14T00:00:00.000Z,createdBy.2i5ub@example.com,2022-09-20T00:00:00.000Z,modifiedBy.2i5ub@example.com
4206612b-938b-4b36-96b0-c529388c1355,name-4206612,description-4206612,69,type-4206612,CLOSED,2003-05-29T00:00:00.000Z,createdBy.2i5uc@example.com,2008-11-23T00:00:00.000Z,modifiedBy.2i5uc@example.net
42066131-9891-46ee-b48a-1017f3b193f6,name-4206613,description-4206613,31,type-4206613,CLOSED,2012-01-13T00:00:00.000Z,createdBy.2i5ud@example.org,2005-04-05T00:00:00.000Z,modifiedBy.2i5ud@example.org
42066148-71a5-4d9e-a753-e420f7cc3b05,name-4206614,description-4206614,5,type-4206614,CLOSED,2013-10-26T00:00:00.000Z,createdBy.2i5ue@example.org,2016-07-18T00:00:00.000Z,modifiedBy.2i5ue@example.com
4206615e-253f-48a2-88f6-7747a1668de9,name-4206615,description-4206615,50,type-4206615,CLOSED,2007-06-30T00:00:00.000Z,createdBy.2i5uf@example.org,2004-12-01T00:00:00.000Z,modifiedBy.2i5uf@example.net
42066160-2930-4eaa-9cb4-0d4c384a1e36,name-4206616,description-4206616,31,type-4206616,CLOSED,2016-03-21T00:00:00.000Z,createdBy.2i5ug@example.com,2021-03-18T00:00:00.000Z,modifiedBy.2i5ug@example.com
4206617d-7ad9-4f68-a758-847fb4278895,name-4206617,description-4206617,85,type-4206617,CLOSED,2012-05-07T00:00:00.000Z,createdBy.2i5uh@example.net,2012-05-20T00:00:00.000Z,modifiedBy.2i5uh@example.net
4206618b-8a70-4bdd-b619-5260f07b68ab,name-4206618,description-4206618,7,type-4206618,CLOSED,2006-08-28T00:00:00.000Z,createdBy.2i5ui@example.net,2008-02-25T00:00:00.000Z,modifiedBy.2i5ui@example.com
42066198-d5be-4aa6-b3dc-77a3152d826e,name-4206619,description-4206619,92,type-4206619,CLOSED,2007-03-05T00:00:00.000Z,createdBy.2i5uj@example.org,2002-11-21T00:00:00.000Z,modifiedBy.2i5uj@example.org
42066208-b425-4c69-84e2-98c7df67ed75,name-4206620,description-4206620,10,type-4206620,CLOSED,2008-10-29T00:00:00.000Z,createdBy.2i5uk@example.com,2004-08-02T00:00:00.000Z,modifiedBy.2i5uk@example.com
